Name	Mean	LogFC	pValue	p.Adj	diffexpressed
I	768.9935216432226	-1.697987784205271	8.13869139335864e-30	3.255476557343456e-28	DOWN
TcMar-Tc1	6458.642618363466	1.7716241546689921	1.0710069578389764e-21	2.1420139156779527e-20	UP
MULE-NOF	62.84895265806549	2.0397576194253255	1.1676345551891089e-7	9.341076441512871e-7	UP
IGS	251.08294065215526	-1.3408722441961773	1.7820634196636852e-9	2.3760845595515805e-8	DOWN
piRNA_cluster_38C2	19848.53489397927	0.6413181034237146	3.563610413100961e-5	2.0363488074862636e-4	UP
cen_Y_island	7835.79353583654	0.6149108844997772	2.6256845959287316e-7	1.7504563972858212e-6	UP
AT-ChX	107049.98297655256	0.6050547502387601	2.6109107715708814e-4	0.0010443643086283526	UP
