Name	Mean	LogFC	pValue	p.Adj	diffexpressed
I	1551.3895389929187	1.2360637694602918	6.090723570128882e-4	0.003958970320583773	UP
piRNA_cluster_42AB	20444.015775983087	0.6381856786969919	8.551416038385383e-4	0.0047643603642432844	UP
piRNA_cluster_38C1	11989.943648414597	-0.5252436133450537	6.355180712370738e-14	2.4785204778245876e-12	DOWN
