gene_id	module
FBgn0010414	turquoise
FBgn0010415	turquoise
FBgn0010417	blue
FBgn0010422	blue
FBgn0010423	turquoise
FBgn0010424	turquoise
FBgn0010431	turquoise
FBgn0010434	turquoise
FBgn0010438	pink
FBgn0010452	red
FBgn0010453	brown
FBgn0010470	turquoise
FBgn0010473	blue
FBgn0010482	turquoise
FBgn0010488	red
FBgn0010501	turquoise
FBgn0010548	turquoise
FBgn0010549	blue
FBgn0010551	blue
FBgn0010583	blue
FBgn0010602	blue
FBgn0010611	turquoise
FBgn0010612	brown
FBgn0010620	turquoise
FBgn0010621	yellow
FBgn0010651	turquoise
FBgn0010660	yellow
FBgn0010750	red
FBgn0010762	blue
FBgn0010786	yellow
FBgn0010825	yellow
FBgn0010905	blue
FBgn0010909	turquoise
FBgn0010926	yellow
FBgn0011202	turquoise
FBgn0011206	blue
FBgn0011207	blue
FBgn0011224	blue
FBgn0011225	turquoise
FBgn0011227	turquoise
FBgn0011230	blue
FBgn0011232	green
FBgn0011239	turquoise
FBgn0011244	brown
FBgn0011260	turquoise
FBgn0011272	brown
FBgn0011274	turquoise
FBgn0011278	blue
FBgn0011282	blue
FBgn0011286	turquoise
FBgn0011288	blue
FBgn0011296	turquoise
FBgn0011327	brown
FBgn0011336	yellow
FBgn0011455	brown
FBgn0011559	green
FBgn0011569	red
FBgn0011573	brown
FBgn0011581	turquoise
FBgn0011582	yellow
FBgn0011584	turquoise
FBgn0011586	blue
FBgn0011592	red
FBgn0011596	blue
FBgn0011603	brown
FBgn0011604	yellow
FBgn0011638	blue
FBgn0011640	blue
FBgn0011642	black
FBgn0011648	blue
FBgn0011653	turquoise
FBgn0011656	turquoise
FBgn0011659	yellow
FBgn0011660	blue
FBgn0011661	turquoise
FBgn0011666	green
FBgn0011693	blue
FBgn0011695	brown
FBgn0011706	yellow
FBgn0011708	turquoise
FBgn0011722	yellow
FBgn0011723	red
FBgn0011739	green
FBgn0011743	blue
FBgn0011746	turquoise
FBgn0011747	red
FBgn0011754	blue
FBgn0011760	blue
FBgn0011769	blue
FBgn0011802	red
FBgn0011817	blue
FBgn0011818	blue
FBgn0011824	blue
FBgn0011828	brown
FBgn0011829	grey
FBgn0011836	blue
FBgn0011837	green
FBgn0012036	turquoise
FBgn0012037	blue
FBgn0012042	blue
FBgn0012051	blue
FBgn0012344	blue
FBgn0013272	turquoise
FBgn0013308	blue
FBgn0013325	brown
FBgn0013334	red
FBgn0013342	turquoise
FBgn0013343	green
FBgn0013348	red
FBgn0013435	blue
FBgn0013563	blue
FBgn0013672	brown
FBgn0013674	turquoise
FBgn0013675	brown
FBgn0013676	black
FBgn0013678	black
FBgn0013679	brown
FBgn0013680	pink
FBgn0013681	turquoise
FBgn0013684	brown
FBgn0013686	brown
FBgn0013688	brown
FBgn0013718	turquoise
FBgn0013725	turquoise
FBgn0013732	blue
FBgn0013733	turquoise
FBgn0013746	blue
FBgn0013751	green
FBgn0013753	blue
FBgn0013756	yellow
FBgn0013759	turquoise
FBgn0013763	turquoise
FBgn0013764	yellow
FBgn0013765	blue
FBgn0013770	turquoise
FBgn0013773	yellow
FBgn0013810	blue
FBgn0013811	blue
FBgn0013812	green
FBgn0013813	blue
FBgn0013949	grey
FBgn0013953	turquoise
FBgn0013954	blue
FBgn0013973	yellow
FBgn0013981	turquoise
FBgn0013983	blue
FBgn0013987	turquoise
FBgn0014000	turquoise
FBgn0014007	yellow
FBgn0014011	turquoise
FBgn0014018	turquoise
FBgn0014019	blue
FBgn0014020	turquoise
FBgn0014026	turquoise
FBgn0014028	turquoise
FBgn0014033	red
FBgn0014037	blue
FBgn0014073	brown
FBgn0014127	blue
FBgn0014135	turquoise
FBgn0014141	turquoise
FBgn0014163	turquoise
FBgn0014184	turquoise
FBgn0014189	blue
FBgn0014269	blue
FBgn0014342	blue
FBgn0014343	blue
FBgn0014366	blue
FBgn0014368	grey
FBgn0014380	turquoise
FBgn0014388	turquoise
FBgn0014395	blue
FBgn0014396	turquoise
FBgn0014469	brown
FBgn0014861	yellow
FBgn0014863	turquoise
FBgn0014869	turquoise
FBgn0014870	blue
FBgn0015008	blue
FBgn0015019	blue
FBgn0015024	blue
FBgn0015031	green
FBgn0015036	red
FBgn0015037	blue
FBgn0015040	turquoise
FBgn0015075	blue
FBgn0015218	green
FBgn0015221	black
FBgn0015230	turquoise
FBgn0015240	blue
FBgn0015245	brown
FBgn0015247	red
FBgn0015268	turquoise
FBgn0015269	green
FBgn0015288	brown
FBgn0015296	green
FBgn0015300	blue
FBgn0015316	turquoise
FBgn0015320	brown
FBgn0015321	brown
FBgn0015338	blue
FBgn0015360	red
FBgn0015371	turquoise
FBgn0015372	yellow
FBgn0015376	blue
FBgn0015380	red
FBgn0015396	turquoise
FBgn0015399	green
FBgn0015477	blue
FBgn0015509	turquoise
FBgn0015513	red
FBgn0015521	brown
FBgn0015522	blue
FBgn0015524	brown
FBgn0015544	blue
FBgn0015568	turquoise
FBgn0015569	yellow
FBgn0015571	red
FBgn0015574	blue
FBgn0015576	turquoise
FBgn0015584	yellow
FBgn0015589	turquoise
FBgn0015600	blue
FBgn0015602	blue
FBgn0015609	turquoise
FBgn0015614	turquoise
FBgn0015622	green
FBgn0015625	blue
FBgn0015714	brown
FBgn0015721	yellow
FBgn0015737	turquoise
FBgn0015754	turquoise
FBgn0015756	brown
FBgn0015765	green
FBgn0015766	brown
FBgn0015770	turquoise
FBgn0015774	turquoise
FBgn0015776	turquoise
FBgn0015777	turquoise
FBgn0015791	turquoise
FBgn0015793	blue
FBgn0015795	turquoise
FBgn0015801	blue
FBgn0015803	red
FBgn0015829	blue
FBgn0015831	blue
FBgn0015872	turquoise
FBgn0015903	green
FBgn0015905	yellow
FBgn0015919	blue
FBgn0015924	yellow
FBgn0015929	turquoise
FBgn0015949	yellow
FBgn0016031	turquoise
FBgn0016032	grey
FBgn0016034	blue
FBgn0016036	brown
FBgn0016047	turquoise
FBgn0016053	green
FBgn0016054	yellow
FBgn0016059	turquoise
FBgn0016061	turquoise
FBgn0016070	yellow
FBgn0016075	turquoise
FBgn0016076	turquoise
FBgn0016078	turquoise
FBgn0016080	brown
FBgn0016081	yellow
FBgn0016119	brown
FBgn0016122	brown
FBgn0016123	turquoise
FBgn0016126	turquoise
FBgn0016641	green
FBgn0016650	turquoise
FBgn0016660	yellow
FBgn0016685	blue
FBgn0016691	turquoise
FBgn0016694	turquoise
FBgn0016701	turquoise
FBgn0016715	turquoise
FBgn0016726	blue
FBgn0016756	turquoise
FBgn0016794	red
FBgn0016797	green
FBgn0016917	red
FBgn0016919	grey
FBgn0016926	blue
FBgn0016930	turquoise
FBgn0016970	blue
FBgn0016974	brown
FBgn0016977	yellow
FBgn0016978	green
FBgn0016983	yellow
FBgn0016984	green
FBgn0017414	green
FBgn0017424	yellow
FBgn0017430	blue
FBgn0017456	turquoise
FBgn0017545	brown
FBgn0017556	brown
FBgn0017558	turquoise
FBgn0017567	brown
FBgn0017579	brown
FBgn0017581	red
FBgn0019624	turquoise
FBgn0019643	turquoise
FBgn0019644	brown
FBgn0019660	turquoise
FBgn0019661	turquoise
FBgn0019662	turquoise
FBgn0019686	yellow
FBgn0019809	green
FBgn0019828	turquoise
FBgn0019830	turquoise
FBgn0019890	yellow
FBgn0019928	blue
FBgn0019929	turquoise
FBgn0019936	brown
FBgn0019938	yellow
FBgn0019949	yellow
FBgn0019952	turquoise
FBgn0019957	blue
FBgn0019968	green
FBgn0019982	brown
FBgn0019990	yellow
FBgn0020018	blue
FBgn0020224	blue
FBgn0020236	turquoise
FBgn0020238	blue
FBgn0020249	turquoise
FBgn0020251	yellow
FBgn0020255	turquoise
FBgn0020257	turquoise
FBgn0020261	turquoise
FBgn0020269	turquoise
FBgn0020278	blue
FBgn0020279	green
FBgn0020280	yellow
FBgn0020299	turquoise
FBgn0020300	yellow
FBgn0020304	turquoise
FBgn0020305	yellow
FBgn0020306	blue
FBgn0020307	green
FBgn0020309	green
FBgn0020312	turquoise
FBgn0020369	brown
FBgn0020370	blue
FBgn0020371	brown
FBgn0020377	turquoise
FBgn0020379	blue
FBgn0020385	turquoise
FBgn0020407	blue
FBgn0020412	blue
FBgn0020414	brown
FBgn0020415	turquoise
FBgn0020445	blue
FBgn0020497	green
FBgn0020503	yellow
FBgn0020510	blue
FBgn0020513	brown
FBgn0020545	blue
FBgn0020616	blue
FBgn0020618	blue
FBgn0020620	blue
FBgn0020621	turquoise
FBgn0020626	turquoise
FBgn0020637	blue
FBgn0020639	blue
FBgn0020647	blue
FBgn0020653	grey
FBgn0020655	turquoise
FBgn0020762	blue
FBgn0020764	blue
FBgn0020767	yellow
FBgn0020887	yellow
FBgn0020909	blue
FBgn0020910	blue
FBgn0020912	turquoise
FBgn0020930	red
FBgn0021760	blue
FBgn0021765	turquoise
FBgn0021768	blue
FBgn0021795	blue
FBgn0021796	yellow
FBgn0021800	yellow
FBgn0021814	turquoise
FBgn0021847	brown
FBgn0021872	turquoise
FBgn0021875	blue
FBgn0021906	turquoise
FBgn0021967	brown
FBgn0021979	turquoise
FBgn0021995	yellow
FBgn0022069	yellow
FBgn0022097	turquoise
FBgn0022153	blue
FBgn0022160	turquoise
FBgn0022213	green
FBgn0022238	green
FBgn0022288	blue
FBgn0022338	blue
FBgn0022343	blue
FBgn0022344	blue
FBgn0022355	blue
FBgn0022359	turquoise
FBgn0022361	turquoise
FBgn0022382	turquoise
FBgn0022702	turquoise
FBgn0022709	turquoise
FBgn0022710	turquoise
FBgn0022740	brown
FBgn0022764	red
FBgn0022774	turquoise
FBgn0022787	yellow
FBgn0022800	turquoise
FBgn0022893	turquoise
FBgn0022943	blue
FBgn0022981	blue
FBgn0022984	blue
FBgn0023023	turquoise
FBgn0023076	blue
FBgn0023081	turquoise
FBgn0023090	blue
FBgn0023091	turquoise
FBgn0023095	turquoise
FBgn0023143	blue
FBgn0023170	turquoise
FBgn0023171	red
FBgn0023172	turquoise
FBgn0023175	brown
FBgn0023179	green
FBgn0023181	yellow
FBgn0023197	turquoise
FBgn0023212	blue
FBgn0023213	green
FBgn0023214	blue
FBgn0023216	green
FBgn0023407	green
FBgn0023416	brown
FBgn0023441	blue
FBgn0023458	turquoise
FBgn0023477	red
FBgn0023496	blue
FBgn0023506	blue
FBgn0023507	turquoise
FBgn0023510	turquoise
FBgn0023515	blue
FBgn0023518	yellow
FBgn0023535	blue
FBgn0023537	turquoise
FBgn0023540	turquoise
FBgn0024150	green
FBgn0024179	brown
FBgn0024183	turquoise
FBgn0024187	green
FBgn0024188	blue
FBgn0024191	brown
FBgn0024196	turquoise
FBgn0024222	blue
FBgn0024227	blue
FBgn0024230	yellow
FBgn0024234	turquoise
FBgn0024238	turquoise
FBgn0024244	yellow
FBgn0024245	red
FBgn0024248	red
FBgn0024273	green
FBgn0024288	turquoise
FBgn0024289	brown
FBgn0024291	turquoise
FBgn0024293	turquoise
FBgn0024294	brown
FBgn0024314	turquoise
FBgn0024315	turquoise
FBgn0024320	turquoise
FBgn0024326	blue
FBgn0024329	green
FBgn0024330	yellow
FBgn0024352	blue
FBgn0024509	brown
FBgn0024510	yellow
FBgn0024542	blue
FBgn0024555	turquoise
FBgn0024556	blue
FBgn0024689	blue
FBgn0024698	blue
FBgn0024728	blue
FBgn0024732	brown
FBgn0024734	turquoise
FBgn0024740	brown
FBgn0024806	yellow
FBgn0024807	yellow
FBgn0024811	blue
FBgn0024836	turquoise
FBgn0024841	blue
FBgn0024887	turquoise
FBgn0024889	blue
FBgn0024921	green
FBgn0024941	yellow
FBgn0024944	turquoise
FBgn0024945	red
FBgn0024957	turquoise
FBgn0024989	turquoise
FBgn0024991	blue
FBgn0024992	turquoise
FBgn0025111	turquoise
FBgn0025115	turquoise
FBgn0025185	turquoise
FBgn0025186	blue
FBgn0025334	blue
FBgn0025352	turquoise
FBgn0025360	green
FBgn0025366	brown
FBgn0025373	green
FBgn0025378	turquoise
FBgn0025381	blue
FBgn0025387	blue
FBgn0025388	blue
FBgn0025454	brown
FBgn0025455	yellow
FBgn0025456	turquoise
FBgn0025469	red
FBgn0025549	yellow
FBgn0025571	brown
FBgn0025582	blue
FBgn0025583	brown
FBgn0025595	brown
FBgn0025608	blue
FBgn0025612	turquoise
FBgn0025630	blue
FBgn0025632	turquoise
FBgn0025643	green
FBgn0025680	turquoise
FBgn0025681	blue
FBgn0025682	blue
FBgn0025683	brown
FBgn0025692	turquoise
FBgn0025693	red
FBgn0025697	turquoise
FBgn0025702	blue
FBgn0025709	turquoise
FBgn0025720	yellow
FBgn0025726	turquoise
FBgn0025740	yellow
FBgn0025741	yellow
FBgn0025790	blue
FBgn0025802	blue
FBgn0025807	blue
FBgn0025808	blue
FBgn0025809	blue
FBgn0025814	turquoise
FBgn0025815	blue
FBgn0025821	blue
FBgn0025832	yellow
FBgn0025833	turquoise
FBgn0025835	blue
FBgn0025836	turquoise
FBgn0025837	blue
FBgn0025864	green
FBgn0025865	brown
FBgn0025866	blue
FBgn0025879	turquoise
FBgn0025885	turquoise
FBgn0025936	blue
FBgn0026061	brown
FBgn0026077	turquoise
FBgn0026084	brown
FBgn0026086	yellow
FBgn0026088	turquoise
FBgn0026136	brown
FBgn0026141	brown
FBgn0026150	blue
FBgn0026160	green
FBgn0026169	brown
FBgn0026176	green
FBgn0026179	red
FBgn0026181	turquoise
FBgn0026197	turquoise
FBgn0026199	turquoise
FBgn0026206	blue
FBgn0026207	blue
FBgn0026239	blue
FBgn0026250	turquoise
FBgn0026252	green
FBgn0026255	blue
FBgn0026259	blue
FBgn0026261	red
FBgn0026262	black
FBgn0026263	blue
FBgn0026309	yellow
FBgn0026313	yellow
FBgn0026314	turquoise
FBgn0026315	turquoise
FBgn0026316	yellow
FBgn0026326	blue
FBgn0026369	turquoise
FBgn0026370	yellow
FBgn0026371	blue
FBgn0026372	brown
FBgn0026376	turquoise
FBgn0026379	yellow
FBgn0026380	brown
FBgn0026393	yellow
FBgn0026401	green
FBgn0026402	blue
FBgn0026409	turquoise
FBgn0026411	turquoise
FBgn0026415	blue
FBgn0026417	blue
FBgn0026418	blue
FBgn0026427	blue
FBgn0026438	turquoise
FBgn0026439	turquoise
FBgn0026441	blue
FBgn0026479	red
FBgn0026562	turquoise
FBgn0026563	red
FBgn0026573	blue
FBgn0026576	blue
FBgn0026577	blue
FBgn0026592	red
FBgn0026593	brown
FBgn0026597	blue
FBgn0026602	yellow
FBgn0026616	turquoise
FBgn0026666	brown
FBgn0026713	turquoise
FBgn0026718	brown
FBgn0026722	blue
FBgn0026738	blue
FBgn0026754	turquoise
