Name	Mean	LogFC	pValue	p.Adj	diffexpressed
FBtr0304266	1628.5394401533874	-0.6332278089597985	2.909085410938338e-4	0.005964176826721991	DOWN
FBtr0304277	313.78733374481243	-1.051917684967926	2.531296331329615e-22	4.5057074697667145e-20	DOWN
FBtr0304337	82.23808720974101	0.806533571304895	3.071099149371292e-6	1.8221854952936333e-4	UP
FBtr0304186	592.5765415778964	0.5557975657443136	1.2825851933034477e-5	5.707504110200343e-4	UP
FBtr0304288	4194.443548965458	-0.6542024127523536	5.697316519067024e-7	5.070611701969651e-5	DOWN
FBtr0309714	17.033261666005902	-1.241555283233234	3.015595024747074e-4	0.005964176826721991	DOWN
