Name	Mean	LogFC	pValue	p.Adj	diffexpressed
I	1822.7458053758392	-2.120714811342424	4.2593353213494516e-49	1.575954068899297e-47	DOWN
1pt688	13503.568812777403	-1.0986490330857688	3.8756996617804325e-15	4.780029582862534e-14	DOWN
Rsp	2315.599934378355	-0.9544151480893737	8.25022248758482e-10	5.087637200677306e-9	DOWN
R2	885.9351268638223	-2.476978453331669	6.06461633858133e-15	5.6097701131877304e-14	DOWN
IGS	463.288709517016	-2.3694922995269145	5.851885534445819e-17	1.0825988238724767e-15	DOWN
piRNA_cluster_38C2	52997.032481260896	0.6008657134417645	1.3721541953780355e-13	1.0153941045797464e-12	UP
