Name	Mean	LogFC	pValue	p.Adj	diffexpressed
hAT-hobo	44756.6123163065	1.0636801981377242	2.098627035209752e-5	2.1093632805610767e-4	UP
hAT-Pegasus	2937.825795098423	0.5284208420986382	4.4973852944261263e-7	1.888901823658973e-5	UP
LOA	29765.696835998122	-0.7229856840032058	3.975895649879151e-5	2.3855373899274907e-4	DOWN
piRNA_cluster_42AB	8253.068220712876	1.8519215846494668	3.215541225065565e-5	2.2508788575458956e-4	UP
cen_4_island	193.62120399747423	-4.8605457509980585	3.357540137214935e-4	0.001762708572037841	DOWN
cen_Y_island	2001.5575110670582	1.390865569000753	2.5111467625727102e-5	2.1093632805610767e-4	UP
