Name	Mean	LogFC	pValue	p.Adj	diffexpressed
Low_complexity	1382.8871382326797	-0.5637011500872868	7.743080505683366e-10	2.5810268352277888e-9	DOWN
hAT-hobo	4367.892203201395	-0.8505380486656917	1.0929078149515094e-45	1.0929078149515094e-44	DOWN
I	3386.9783706482954	-1.2440483230110384	1.4258379952298838e-53	2.8516759904597676e-52	DOWN
TcMar-Tc1	27019.441820539538	2.800646607327189	0	0	UP
TcMar-Pogo	5763.595916215799	0.7382796021228902	6.716483891885354e-48	8.955311855847139e-47	UP
MULE-NOF	360.5164124334976	0.6161775058729291	5.288713300642471e-5	1.2444031295629344e-4	UP
IGS	318.6895930621205	-0.6271830230704999	6.883647147985065e-5	1.5296993662189032e-4	DOWN
