Name	Mean	LogFC	pValue	p.Adj	diffexpressed
Satellite	6560.647878990197	0.9751682421013644	1.835914955512048e-6	5.114334518926419e-6	UP
I	962.8500699507215	-1.8997854997927939	2.7802170704407196e-82	5.421423287359403e-81	DOWN
1pt688	8757.209040637077	-0.6258858201110497	1.300520475171256e-18	1.0144059706335798e-17	DOWN
LOA	141057.52115715685	0.6476229031918921	4.705983679589816e-104	1.835333635040028e-102	UP
R2	433.84031610486164	-2.412916436049494	2.7374823936650193e-71	3.5587271117645253e-70	DOWN
MULE-NOF	27.045338009878943	-1.7323101162944392	1.3585652747969996e-8	4.415337143090248e-8	DOWN
IGS	303.3305265953239	-1.4138741151200873	8.643908288612723e-15	5.61854038759827e-14	DOWN
